correctCount,userId,isPractice,sessionNumber,completedAt,mode,totalTrials,accuracy,startedAt,avgReactionTime,doc_id
17,id-8,False,1,2026-05-11 16:59:28.267000+00:00,experiment,20,0.85,2026-05-11 16:58:38.761000+00:00,2070,3RCSJHGd9UrHw72BNeAQ
17,id-11,False,1,2026-05-05 12:57:57.654000+00:00,experiment,20,0.85,2026-05-05 12:55:14.624000+00:00,8149,3bqwBkPfrXEFJrSXeSrE
16,id-7,False,1,2026-05-10 21:30:28.742000+00:00,experiment,20,0.8,2026-05-10 21:28:57.149000+00:00,4357,4Kw0igvBvCtHwp1jY4KD
11,id-29,False,2,2026-05-09 12:14:33.272000+00:00,repeat,20,0.55,2026-05-09 12:14:14.433000+00:00,636,5RkWtXLJvf9h24ogTHsy
13,id-14,False,1,2026-05-09 20:12:51.673000+00:00,experiment,20,0.65,2026-05-09 20:09:51.340000+00:00,9962,89kBn5Tm8OHNil62UuZH
17,id-38,False,1,2026-05-07 13:16:16.550000+00:00,experiment,20,0.85,2026-05-07 13:12:55.419000+00:00,8787,8LVmX9qnTJwPRdZ6zpOQ
17,id-41,False,1,2026-05-05 11:02:53.696000+00:00,experiment,20,0.85,2026-05-05 10:58:35.039000+00:00,10824,8hPxSBbY5vfwgZ0xfBk9
18,id-25,False,1,2026-05-10 09:53:17.867000+00:00,experiment,20,0.9,2026-05-10 09:51:50.801000+00:00,3959,BXT8kjkqZOkp9S5lAKJK
19,id-39,False,1,2026-05-10 17:18:02.880000+00:00,experiment,20,0.95,2026-05-10 17:16:41.902000+00:00,3654,BhSfo4qsCc04udVUChpQ
18,id-42,False,1,2026-05-07 08:36:40.811000+00:00,experiment,20,0.9,2026-05-07 08:35:35.026000+00:00,2940,CSBDdFzxcDOmxCBvUFc6
19,id-30,False,1,2026-05-08 12:56:35.847000+00:00,experiment,20,0.95,2026-05-08 12:54:24.660000+00:00,6201,DKIwDFR74IjrZNHBEXH5
18,id-13,False,1,2026-05-05 11:21:06.208000+00:00,experiment,20,0.9,2026-05-05 11:18:05.465000+00:00,8729,F6tdBm2xe80yHBHuu68K
17,id-16,False,1,2026-05-05 11:31:18.814000+00:00,experiment,20,0.85,2026-05-05 11:26:52.817000+00:00,12282,FBzdrcf7kXUGPVoY7gMl
19,id-42,False,2,2026-05-07 08:45:53.579000+00:00,interactive,20,0.95,2026-05-07 08:41:26.165000+00:00,3115,FqpJJtxHeHVCTULuWboL
16,id-10,False,1,2026-05-05 11:04:23.544000+00:00,experiment,20,0.8,2026-05-05 11:01:34.478000+00:00,8330,G6e8tGHiy6FpXmIzhhpq
17,id-37,False,1,2026-05-05 12:05:15.813000+00:00,experiment,20,0.85,2026-05-05 12:01:46.660000+00:00,9171,GbNUE42nFf3NUHXEZT3O
13,id-29,False,1,2026-05-05 16:19:57.207000+00:00,experiment,20,0.65,2026-05-05 16:17:22.422000+00:00,7586,IiNOxrGEmCMJeFpkXsdv
17,id-6,False,1,2026-05-05 10:58:29.566000+00:00,experiment,20,0.85,2026-05-05 10:57:05.254000+00:00,3826,KHortq5HaQuYu2nq2l22
16,id-8,False,2,2026-05-11 17:04:53.123000+00:00,interactive,20,0.8,2026-05-11 17:03:57.883000+00:00,2410,Kd1lbmUIhWyi3HdAjJkh
19,id-4,False,1,2026-05-05 12:07:42.905000+00:00,experiment,20,0.95,2026-05-05 12:05:45.962000+00:00,5453,Kope60nBtPHXcE194Z7e
15,id-36,False,2,2026-05-11 17:13:15.065000+00:00,interactive,20,0.75,2026-05-11 17:12:01.789000+00:00,3337,MfAknKtnQqmqI351d3zn
