userId,isPractice,rotationAngle,userResponse,isOutlier,reactionTime,timestamp,mode,isCorrect,objectId,isIdentical,sessionId,trialOrder,doc_id
id-44,False,20,same,False,13476.0,2026-05-05 12:44:29.801000+00:00,experiment,True,shape_02,True,oyR11qcuqW83zh1ZvyCt,1,03vT9FtCNPjEjI2pT5V9
id-12,False,180,different,False,6638.0,2026-05-05 13:24:51.690000+00:00,experiment,True,shape_13,False,nofQRZyDpufFK0Zn65eZ,20,04BLv2X3vj0T2dpXOeIs
id-26,False,170,same,False,6535.0,2026-05-10 09:27:36.842000+00:00,interactive,True,shape_05,True,sj4437J1DwSy4crvI917,7,06cmvKnYwCIgbhyoPIkX
id-31,False,106,same,False,3372.0,2026-05-10 18:29:20.623000+00:00,interactive,True,shape_05,True,ae1GlTd5wFCmJ6fP7Ink,2,08JdzeCpHxRbgpWPW8L4
id-2,False,20,same,False,5564.0,2026-05-07 12:10:32.518000+00:00,experiment,True,shape_02,True,xLGHyCWOPsXDia7n6OAp,1,08W0OPDmaVwzllvwJVK3
id-30,False,60,same,False,2937.0,2026-05-08 13:07:27.970000+00:00,repeat,True,shape_01,True,VH65jlwpH6co2GV5XDJx,8,0GbBxmJ66akcf1o2xMXr
id-39,False,90,same,False,18730.0,2026-05-10 17:17:07.410000+00:00,experiment,True,shape_04,True,BhSfo4qsCc04udVUChpQ,5,0LLuHcHEoL9D8OM5xBPv
id-34,False,180,same,False,6312.0,2026-05-05 11:10:12.467000+00:00,experiment,False,shape_13,False,QoGqib6UiWqkAF04bRX9,20,0PSR0tqzHlEAiYJNpLRo
id-34,False,45,same,False,6282.0,2026-05-05 11:09:06.103000+00:00,experiment,True,shape_01,True,QoGqib6UiWqkAF04bRX9,9,0R8YJ13K4kree60o0QDP
id-28,False,157,different,False,8255.0,2026-05-06 06:16:30.042000+00:00,experiment,True,shape_11,False,ikksaMxfuRNjSwjWe8AJ,19,0SSHHZ5BI54Z8AjAcPdf
id-37,False,112,same,False,5773.0,2026-05-05 12:04:42.077000+00:00,experiment,True,shape_08,True,GbNUE42nFf3NUHXEZT3O,15,0W9jCp61Sx7EXo0kWDkG
id-30,False,141,same,False,7494.0,2026-05-08 13:06:44.555000+00:00,repeat,True,shape_11,True,VH65jlwpH6co2GV5XDJx,3,0Yrj0R4351aEPF4Zklkw
id-12,False,20,same,False,6684.0,2026-05-05 13:23:59.527000+00:00,experiment,True,shape_09,True,nofQRZyDpufFK0Zn65eZ,12,0awVwueydfCdFHsWf6UI
id-20,False,157,different,True,186.0,2026-05-05 10:37:11.451000+00:00,experiment,False,shape_06,True,hx2OeSXfZGIaigS8Fn0o,11,0bsx4Chnze10eZC7655d
